profissao,educacao,cargo,renda,segmentacao,seguro
7,9,1,4,40,1
6,9,4,4,13,1
4,11,6,4,40,1
4,1,6,2,40,1
4,9,10,2,40,0
4,12,4,4,40,0
4,6,8,2,16,0
6,11,4,4,45,1
4,12,10,4,50,0
4,9,4,4,40,1
4,15,4,2,80,1
7,9,10,1,40,1
4,9,1,4,30,0
4,7,12,2,50,1
4,8,3,1,40,1
4,5,14,0,45,1
6,11,5,4,35,1
4,11,7,4,40,1
4,1,12,4,50,1
6,12,4,4,45,0
4,10,10,4,60,1
4,11,8,2,20,0
1,6,5,2,40,1
4,1,14,4,40,1
4,11,13,4,40,0
2,9,13,4,40,1
4,11,3,4,40,1
0,15,0,1,60,1
4,11,4,4,80,1
4,11,3,4,40,1
2,7,11,4,52,1
4,15,12,2,44,1
4,9,4,4,40,1
1,15,1,4,40,1
7,15,8,2,15,1
4,1,7,4,40,1
4,15,7,4,40,1
4,11,1,4,25,0
4,15,12,4,38,1
6,7,10,4,40,1
4,6,7,4,43,1
6,9,10,4,40,1
4,9,13,4,50,1
4,11,1,4,40,0
4,11,6,4,35,1
1,9,10,2,40,1
4,11,7,4,38,1
4,12,4,4,40,0
7,8,3,4,40,1
4,8,10,4,43,1
4,15,4,3,40,0
4,11,8,4,30,0
4,14,10,4,60,0
1,9,4,4,55,1
5,11,4,4,60,1
4,15,13,4,40,1
4,4,7,4,40,1
4,8,8,4,40,1
4,11,1,4,48,1
4,11,7,4,40,1
4,9,12,4,40,1
0,5,0,4,40,1
4,11,14,4,40,1
4,10,10,4,45,1
4,15,13,4,58,1
4,11,3,4,40,1
4,15,1,4,40,0
4,11,1,4,40,0
5,15,4,4,50,1
0,15,0,4,40,1
4,15,10,4,32,1
4,9,12,2,40,0
6,9,12,4,70,1
4,15,7,4,40,1
4,15,10,4,20,1
4,11,8,4,40,1
4,7,1,4,40,1
0,0,0,4,2,1
4,1,8,4,22,0
2,5,5,4,40,1
4,11,12,4,30,1
4,9,8,4,40,1
4,11,8,4,40,0
4,11,12,4,48,1
4,11,3,4,40,0
4,11,12,4,35,0
2,11,11,4,40,1
4,12,10,4,50,1
4,6,12,4,40,1
1,10,10,4,50,0
4,8,10,4,40,1
4,15,3,4,40,0
4,15,7,2,25,0
4,11,12,1,35,0
2,9,11,4,40,1
2,15,6,4,50,1
6,10,10,4,60,1
4,15,12,4,48,1
4,7,4,4,40,0
1,11,8,2,40,1
4,12,4,4,40,1
4,9,4,4,60,1
6,12,10,4,50,0
4,15,13,4,40,0
4,11,3,4,40,1
5,11,3,4,40,1
0,0,0,4,32,0
4,1,6,4,40,1
2,11,1,4,40,0
4,11,6,4,40,1
4,9,12,4,40,1
4,14,10,4,40,1
6,11,8,4,50,1
4,15,12,4,25,0
4,11,7,4,40,0
4,6,6,4,50,1
5,15,12,4,50,1
2,8,3,2,40,1
4,15,12,4,56,1
4,11,3,4,41,1
4,15,8,4,40,0
4,9,4,4,60,1
4,9,4,2,40,1
7,9,10,4,50,1
4,15,8,2,35,1
4,9,4,4,40,0
4,15,1,4,28,0
4,7,1,4,40,1
0,11,0,4,40,1
4,15,3,4,40,1
4,7,12,4,60,0
4,11,8,4,40,0
6,11,3,4,35,1
4,9,12,4,50,1
4,7,13,2,36,0
1,12,10,4,40,1
6,11,3,4,60,1
4,8,1,4,35,0
4,15,12,4,20,1
4,15,3,1,40,1
5,11,3,4,40,1
4,15,12,4,40,0
4,15,8,4,30,1
4,8,10,4,40,0
4,15,13,4,40,1
4,11,14,2,30,0
4,15,8,4,24,1
4,11,8,4,24,0
4,1,3,4,40,1
0,15,0,4,40,0
2,15,1,4,38,0
4,11,1,4,40,0
4,9,4,1,40,0
4,11,3,4,35,1
0,11,0,4,45,1
4,11,3,4,46,1
4,9,6,4,40,1
6,15,12,2,2,1
4,11,3,4,60,1
4,9,8,2,50,1
0,3,0,4,20,0
4,11,8,4,40,0
5,12,4,1,40,0
4,11,4,1,40,0
6,12,12,4,40,1
4,15,8,4,40,0
1,7,4,4,42,1
7,12,11,4,40,1
4,1,6,4,16,1
